date,prev_pos,model_position,signal_strength,action,rank,prob,regime,gold_close,position_after,fwd_ret_5d,fwd_ret_20d,mae_5d,mae_20d
2025-11-21,1,1,BUY,HOLD (Long),0.6051587301587301,0.8920571208000183,2,4076.699951171875,1,,,0.0,0.0
2025-11-25,1,1,HOLD,HOLD (Long),0.3888888888888889,0.5253109931945801,0,4139.2001953125,1,,,0.0,0.0
2025-11-25,1,1,HOLD,HOLD (Long),0.3948412698412698,0.3722169697284698,0,4139.2001953125,1,,,0.0,0.0
2025-11-28,1,1,HOLD,HOLD (Long),0.2638888888888889,0.0971373915672302,0,4218.2998046875,1,,,0.0,0.0
2025-12-04,1,1,HOLD,HOLD (Long),0.4503968253968254,0.1726791560649871,0,4211.7998046875,1,,,0.0,0.0
2025-11-19,1,1,HOLD,HOLD (Long),0.7261904761904762,0.5289202928543091,0,4077.699951171875,1,,,0.0,0.0
2025-11-19,1,1,HOLD,HOLD (Long),0.7261904761904762,0.5289202928543091,0,4077.699951171875,1,,,0.0,0.0
2025-11-19,1,1,HOLD,HOLD (Long),0.7261904761904762,0.5289202928543091,0,4077.699951171875,1,,,0.0,0.0
2025-11-19,1,1,HOLD,HOLD (Long),0.7261904761904762,0.5289202928543091,0,4077.699951171875,1,,,0.0,0.0
